datetime,open,high,low,close
2025-08-09 03:00:00,3389.5,3390.0,3388.4,3388.46
2025-08-09 03:30:00,3388.87,3389.98,3379.38,3379.8
2025-08-09 04:00:00,3379.63,3389.64,3375.19,3381.45
2025-08-09 04:30:00,3381.45,3389.18,3381.0,3386.26
2025-08-09 05:00:00,3386.24,3389.11,3384.31,3387.8
2025-08-09 05:30:00,3387.8,3388.93,3386.4,3388.92
2025-08-09 06:00:00,3388.92,3388.93,3383.35,3383.95
2025-08-09 06:30:00,3383.95,3387.21,3383.41,3387.21
2025-08-09 07:00:00,3387.21,3387.79,3385.35,3386.6
2025-08-09 07:30:00,3386.6,3387.67,3383.97,3384.78
2025-08-09 08:00:00,3385.25,3387.87,3384.17,3386.81
2025-08-09 08:30:00,3386.81,3388.88,3386.08,3388.76
2025-08-09 09:00:00,3388.77,3388.77,3386.67,3386.67
2025-08-09 09:30:00,3386.68,3386.68,3383.96,3385.75
2025-08-09 10:00:00,3385.76,3386.58,3384.9,3384.95
2025-08-09 10:30:00,3384.95,3385.16,3384.61,3385.16
2025-08-09 11:00:00,3385.16,3385.95,3385.11,3385.91
2025-08-09 11:30:00,3386.0,3393.8,3386.0,3388.02
2025-08-09 12:00:00,3388.02,3388.02,3387.33,3387.38
2025-08-09 12:30:00,3387.39,3388.14,3386.88,3387.49
2025-08-09 13:00:00,3387.49,3387.82,3387.28,3387.28
2025-08-09 13:30:00,3387.28,3387.55,3387.28,3387.55
2025-08-09 14:00:00,3387.55,3389.57,3387.54,3389.36
2025-08-09 14:30:00,3389.36,3389.59,3375.0,3385.47
2025-08-09 15:00:00,3385.47,3386.0,3376.93,3386.0
2025-08-09 15:30:00,3385.99,3386.89,3384.6,3385.68
2025-08-09 16:00:00,3385.67,3386.03,3382.43,3384.13
2025-08-09 16:30:00,3384.02,3384.98,3380.22,3383.59
2025-08-09 17:00:00,3383.58,3383.76,3382.8,3383.62
2025-08-09 17:30:00,3383.49,3383.8,3382.64,3383.75
2025-08-09 18:00:00,3383.75,3384.06,3383.75,3384.0
2025-08-09 18:30:00,3383.99,3384.0,3380.11,3380.89
2025-08-09 19:00:00,3380.95,3386.12,3380.95,3386.11
2025-08-09 19:30:00,3386.12,3387.48,3385.47,3387.48
2025-08-09 20:00:00,3387.49,3390.0,3387.3,3387.35
2025-08-09 20:30:00,3387.36,3387.36,3385.46,3386.14
2025-08-09 21:00:00,3386.13,3390.0,3386.05,3389.59
2025-08-09 21:30:00,3389.59,3389.63,3387.45,3387.45
2025-08-09 22:00:00,3387.45,3389.63,3386.48,3389.45
2025-08-09 22:30:00,3389.45,3389.46,3388.36,3388.59
2025-08-09 23:00:00,3388.58,3388.59,3387.73,3387.8
2025-08-09 23:30:00,3387.8,3389.32,3387.4,3389.32
2025-08-11 07:30:00,3386.51,3386.51,3386.51,3386.51
2025-08-11 08:00:00,3386.51,3391.7,3382.85,3385.51
2025-08-11 08:30:00,3385.59,3387.48,3384.95,3387.48
2025-08-11 09:00:00,3387.47,3387.56,3385.56,3387.54
2025-08-11 09:30:00,3387.54,3387.54,3382.52,3382.52
2025-08-11 10:00:00,3382.53,3382.54,3378.26,3381.12
2025-08-11 10:30:00,3381.11,3385.04,3377.93,3377.93
2025-08-11 11:00:00,3377.78,3377.78,3366.71,3369.34
2025-08-11 11:30:00,3369.74,3373.08,3365.56,3371.01
2025-08-11 12:00:00,3370.73,3375.0,3366.58,3370.85
2025-08-11 12:30:00,3371.67,3375.18,3369.0,3373.18
2025-08-11 13:00:00,3372.73,3373.53,3368.18,3372.94
2025-08-11 13:30:00,3372.93,3374.38,3370.95,3374.38
2025-08-11 14:00:00,3374.38,3375.18,3371.0,3372.3
2025-08-11 14:30:00,3372.31,3372.67,3371.33,3371.62
2025-08-11 15:00:00,3371.61,3374.32,3369.24,3372.87
2025-08-11 15:30:00,3372.87,3373.65,3371.0,3371.0
2025-08-11 16:00:00,3371.01,3371.01,3362.87,3362.88
2025-08-11 16:30:00,3362.88,3365.71,3362.1,3362.24
2025-08-11 17:00:00,3362.23,3362.23,3353.95,3359.16
2025-08-11 17:30:00,3359.15,3359.16,3352.61,3356.15
