datetime,open,high,low,close
2024-06-25 19:00:00,2329.72998,2337.1499,2324.11011,2324.22998
2024-06-25 23:00:00,2324.18994,2328.22998,2315.6001,2317.93994
2024-06-26 03:00:00,2317.8501,2320.62012,2316.88989,2319.57007
2024-06-26 07:00:00,2319.38989,2324.02002,2317.84009,2318.51001
2024-06-26 11:00:00,2318.18994,2321.65991,2310.65991,2316.87988
2024-06-26 15:00:00,2316.8999,2318.18994,2309.72998,2315.69995
2024-06-26 19:00:00,2316.12012,2318.43994,2304.51001,2310.46997
2024-06-26 23:00:00,2310.21997,2311.62012,2293.80005,2299.81006
2024-06-27 03:00:00,2299.77002,2303.090088,2297.11011,2298.26001
2024-06-27 07:00:00,2298.63989,2300.17993,2296.93994,2299.13989
2024-06-27 11:00:00,2299.30005,2301.21997,2296.93994,2300.40991
2024-06-27 15:00:00,2300.59009,2308.47998,2296.6001,2307.68994
2024-06-27 19:00:00,2307.61011,2325.42993,2307.44995,2322.98999
2024-06-27 23:00:00,2322.55005,2330.93994,2319.6499,2325.51001
2024-06-28 03:00:00,2325.55005,2328.53003,2322.56006,2327.62012
2024-06-28 07:00:00,2327.6001,2328.34009,2321.56006,2321.68994
2024-06-28 11:00:00,2321.68994,2325.030029,2319.18994,2321.32007
2024-06-28 15:00:00,2321.28003,2331.96997,2321.12012,2328.82007
2024-06-28 19:00:00,2328.82007,2339.27002,2327.34009,2335.51001
2024-06-28 23:00:00,2335.96997,2339.71997,2322.96997,2330.02002
2024-06-29 03:00:00,2330.18994,2332.76001,2323.02002,2326.68994
2024-07-01 07:00:00,2324.6499,2326.18994,2322.30005,2324.8501
2024-07-01 11:00:00,2324.3501,2328.47998,2321.53003,2323.72998
2024-07-01 15:00:00,2323.68994,2329.02002,2318.67993,2326.01001
2024-07-01 19:00:00,2325.93994,2338.56006,2325.55005,2327.43994
2024-07-01 23:00:00,2327.68994,2334.3501,2319.3999,2328.26001
2024-07-02 03:00:00,2328.22998,2332.40991,2326.84009,2331.72998
2024-07-02 07:00:00,2332.22998,2333.92993,2331.40991,2333.1001
2024-07-02 11:00:00,2333.060059,2334.37988,2324.97998,2327.38989
2024-07-02 15:00:00,2327.36011,2332.52002,2323.40991,2331.27002
2024-07-02 19:00:00,2331.26001,2331.8999,2319.42993,2327.53003
2024-07-02 23:00:00,2327.72998,2336.78003,2321.030029,2322.88989
2024-07-03 03:00:00,2322.87988,2331.3501,2322.17993,2329.46997
2024-07-03 07:00:00,2330.16992,2332.21997,2329.72998,2330.34009
2024-07-03 11:00:00,2330.34009,2335.31006,2327.060059,2334.56006
2024-07-03 15:00:00,2334.53003,2347.61011,2332.02002,2344.71997
2024-07-03 19:00:00,2344.76001,2356.12012,2342.19995,2350.51001
2024-07-03 23:00:00,2350.38989,2364.93994,2347.69995,2356.8501
2024-07-04 03:00:00,2356.67993,2360.90991,2353.78003,2356.13989
2024-07-04 07:00:00,2357.030029,2359.62012,2356.1499,2358.6001
2024-07-04 11:00:00,2358.57007,2362.55005,2357.30005,2358.63989
2024-07-04 15:00:00,2358.6001,2359.6499,2350.81006,2358.90991
2024-07-04 19:00:00,2358.93994,2360.43994,2355.80005,2357.8501
2024-07-04 23:00:00,2357.82007,2361.88989,2355.78003,2357.8999
2024-07-05 03:00:00,2357.90991,2358.070068,2356.21997,2357.44995
2024-07-05 07:00:00,2356.80005,2359.030029,2354.36011,2358.8999
2024-07-05 11:00:00,2358.92993,2364.73999,2356.97998,2363.98999
2024-07-05 15:00:00,2364.060059,2367.97998,2362.3501,2366.55005
2024-07-05 19:00:00,2366.52002,2376.070068,2349.80005,2372.21997
2024-07-05 23:00:00,2372.19995,2388.34009,2370.77002,2386.56006
2024-07-06 03:00:00,2386.62012,2392.96997,2384.65991,2391.62012
2024-07-08 07:00:00,2389.57007,2390.19995,2384.6499,2386.72998
2024-07-08 11:00:00,2386.44995,2391.19995,2380.96997,2385.02002
2024-07-08 15:00:00,2385.11011,2386.87988,2372.02002,2372.90991
2024-07-08 19:00:00,2372.93994,2377.55005,2368.42993,2372.8501
2024-07-08 23:00:00,2373.02002,2379.61011,2351.23999,2358.76001
2024-07-09 03:00:00,2358.82007,2359.8999,2354.97998,2359.20996
2024-07-09 07:00:00,2359.13989,2363.73999,2358.67993,2361.8999
2024-07-09 11:00:00,2362.1499,2368.8501,2360.6499,2367.40991
2024-07-09 15:00:00,2367.3501,2368.43994,2358.34009,2361.73999
2024-07-09 19:00:00,2361.81006,2365.55005,2356.18994,2360.15991
2024-07-09 23:00:00,2360.18994,2370.93994,2349.62012,2357.56006
2024-07-10 03:00:00,2357.56006,2365.6001,2357.56006,2363.82007
2024-07-10 07:00:00,2364.42993,2366.43994,2363.32007,2364.72998
2024-07-10 11:00:00,2364.78003,2370.31006,2363.3999,2367.78003
2024-07-10 15:00:00,2367.80005,2374.97998,2367.27002,2372.87988
2024-07-10 19:00:00,2372.86011,2381.92993,2371.77002,2377.8501
2024-07-10 23:00:00,2377.86011,2386.68994,2374.060059,2377.92993
2024-07-11 03:00:00,2377.90991,2378.6001,2370.01001,2371.37988
2024-07-11 07:00:00,2372.12012,2374.38989,2371.27002,2374.25
2024-07-11 11:00:00,2374.25,2382.55005,2373.22998,2382.030029
2024-07-11 15:00:00,2382.050049,2384.1001,2378.56006,2381.47998
2024-07-11 19:00:00,2381.46997,2409.71997,2379.090088,2406.47998
2024-07-11 23:00:00,2406.3999,2424.6001,2395.93994,2411.84009
2024-07-12 03:00:00,2411.73999,2418.68994,2410.1001,2415.3501
2024-07-12 07:00:00,2414.8501,2416.38989,2411.30005,2412.060059
2024-07-12 11:00:00,2411.80005,2414.15991,2406.73999,2408.65991
